sl-01-kgl.rw.seacomnet.com,7,212.222.126.66,170.658,1721056800
sl-01-kgl.rw.seacomnet.com,8,105.16.33.1,301.626,1721056800
sl-01-kgl.rw.seacomnet.com,9,105.16.8.53,299.191,1721056800
sl-01-kgl.rw.seacomnet.com,10,105.25.160.197,299.76,1721056800
sl-01-kgl.rw.seacomnet.com,11,105.16.19.1,299.664,1721056800
sl-01-kgl.rw.seacomnet.com,12,105.25.160.182,287.12,1721056800
sl-01-kgl.rw.seacomnet.com,13,105.16.8.186,299.209,1721056800
sl-01-kgl.rw.seacomnet.com,14,105.21.96.14,303.489,1721056800
41.226.22.119,1,98.97.56.1,24.984,1721056809.488082
41.226.22.119,2,172.16.251.22,24.665,1721056809.488082
41.226.22.119,3,206.224.65.246,23.744,1721056809.488082
41.226.22.119,4,206.224.65.228,25.717,1721056809.488082
41.226.22.119,5,65.175.1.33,24.5,1721056809.488082
41.226.22.119,6,89.221.35.196,31.235,1721056809.488082
41.226.22.119,7,192.22.218.39,208.128,1721056809.488082
41.226.22.119,9,193.95.1.156,218.296,1721056809.488082
41.226.22.119,10,193.95.0.90,220.141,1721056809.488082
41.226.22.119,11,193.95.96.111,221.24,1721056809.488082
41.226.22.119,13,41.226.22.119,217.101,1721056809.488082
196.179.245.2,1,98.97.56.1,23.54,1721056816.081427
196.179.245.2,2,172.16.251.22,23.43,1721056816.081427
196.179.245.2,3,206.224.65.250,32.768,1721056816.081427
196.179.245.2,4,206.224.65.240,48.472,1721056816.081427
196.179.245.2,5,4.7.108.221,43.277,1721056816.081427
196.179.245.2,6,4.68.39.58,40.276,1721056816.081427
196.179.245.2,7,195.22.197.205,209.601,1721056816.081427
196.179.245.2,8,195.22.197.13,210.542,1721056816.081427
196.179.245.2,11,196.179.245.2,211.202,1721056816.081427
197.26.19.243,1,98.97.56.1,49.348,1721056827.742622
197.26.19.243,2,172.16.251.22,39.065,1721056827.742622
197.26.19.243,3,206.224.65.254,44.557,1721056827.742622
197.26.19.243,4,206.224.65.230,51.889,1721056827.742622
197.26.19.243,5,65.175.1.33,43.892,1721056827.742622
197.26.19.243,6,89.149.187.114,42.349,1721056827.742622
197.26.19.243,12,197.26.19.243,196.79,1721056827.742622
154.0.5.20,1,98.97.56.1,31.558,1721056837.1818693
154.0.5.20,2,172.16.251.22,33.638,1721056837.1818693
154.0.5.20,3,206.224.66.2,36.134,1721056837.1818693
154.0.5.20,4,206.224.65.234,29.878,1721056837.1818693
154.0.5.20,5,65.175.1.33,34.561,1721056837.1818693
154.0.5.20,6,89.149.187.114,29.669,1721056837.1818693
154.0.5.20,11,154.0.5.20,159.242,1721056837.1818693
169.150.238.161,1,98.97.56.1,28.483,1721056842.882263
169.150.238.161,2,172.16.251.22,36.885,1721056842.882263
169.150.238.161,3,206.224.66.2,30.247,1721056842.882263
169.150.238.161,4,206.224.65.234,27.337,1721056842.882263
169.150.238.161,5,206.72.211.110,29.563,1721056842.882263
169.150.238.161,6,170.238.233.33,94.715,1721056842.882263
169.150.238.161,7,170.238.233.162,156.848,1721056842.882263
169.150.238.161,8,170.238.232.150,215.679,1721056842.882263
169.150.238.161,9,102.130.68.143,262.681,1721056842.882263
169.150.238.161,10,102.130.70.58,271.372,1721056842.882263
169.150.238.161,11,169.150.238.161,266.6,1721056842.882263
